Model,MDO32
Firmware Version,1.12.15

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-08
Horizontal Delay,2.71292e-07
Sample Interval,8e-10
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,2.76
,
,
,
Label,
TIME,CH1
2.233e-07,-0.344
2.241e-07,-0.336
2.249e-07,-0.328
2.257e-07,-0.312
2.265e-07,-0.288
2.273e-07,-0.264
2.281e-07,-0.272
2.289e-07,-0.296
2.297e-07,-0.336
2.305e-07,-0.352
2.313e-07,-0.352
2.321e-07,-0.328
2.329e-07,-0.296
2.337e-07,-0.264
2.345e-07,-0.256
2.353e-07,-0.264
2.361e-07,-0.28
2.369e-07,-0.312
2.377e-07,-0.352
2.385e-07,-0.384
2.393e-07,-0.392
2.401e-07,-0.376
2.409e-07,-0.368
2.417e-07,-0.352
2.425e-07,-0.344
2.433e-07,-0.344
2.441e-07,-0.344
2.449e-07,-0.344
2.457e-07,-0.344
2.465e-07,-0.32
2.473e-07,-0.28
2.481e-07,-0.248
2.489e-07,-0.216
2.497e-07,-0.224
2.505e-07,-0.24
2.513e-07,-0.28
2.521e-07,-0.312
2.529e-07,-0.328
2.537e-07,-0.336
2.545e-07,-0.336
2.553e-07,-0.312
2.561e-07,-0.272
2.569e-07,-0.224
2.577e-07,-0.216
2.585e-07,-0.216
2.593e-07,-0.248
2.601e-07,-0.28
2.609e-07,-0.28
2.617e-07,-0.28
2.625e-07,-0.264
2.633e-07,-0.264
2.641e-07,-0.264
2.649e-07,-0.248
2.657e-07,-0.272
2.665e-07,-0.296
2.673e-07,-0.32
2.681e-07,-0.336
2.689e-07,-0.328
2.697e-07,-0.304
2.705e-07,-0.28
2.713e-07,-0.264
2.721e-07,-0.248
2.729e-07,-0.232
2.737e-07,-0.248
2.745e-07,-0.28
2.753e-07,-0.32
2.761e-07,-0.32
2.769e-07,-0.312
2.777e-07,-0.288
2.785e-07,-0.256
2.793e-07,-0.24
2.801e-07,-0.216
2.809e-07,-0.208
2.817e-07,-0.208
2.825e-07,-0.224
2.833e-07,-0.248
2.841e-07,-0.272
2.849e-07,-0.264
2.857e-07,-0.256
2.865e-07,-0.224
2.873e-07,-0.208
2.881e-07,-0.2
2.889e-07,-0.208
2.897e-07,-0.224
2.905e-07,-0.24
2.913e-07,-0.248
2.921e-07,-0.256
2.929e-07,-0.248
2.937e-07,-0.232
2.945e-07,-0.232
2.953e-07,-0.224
2.961e-07,-0.232
2.969e-07,-0.248
2.977e-07,-0.272
2.985e-07,-0.272
2.993e-07,-0.272
3.001e-07,-0.264
3.009e-07,-0.264
3.017e-07,-0.272
3.025e-07,-0.28
3.033e-07,-0.272
3.041e-07,-0.264
3.049e-07,-0.264
3.057e-07,-0.248
3.065e-07,-0.248
3.073e-07,-0.232
3.081e-07,-0.224
3.089e-07,-0.216
3.097e-07,-0.216
3.105e-07,-0.216
3.113e-07,-0.224
3.121e-07,-0.208
3.129e-07,-0.2
3.137e-07,-0.192
3.145e-07,-0.192
3.153e-07,-0.208
3.161e-07,-0.224
3.169e-07,-0.216
3.177e-07,-0.192
3.185e-07,-0.168
3.193e-07,-0.168
3.201e-07,-0.168
3.209e-07,-0.168
3.217e-07,-0.192
3.225e-07,-0.208
3.233e-07,-0.224
3.241e-07,-0.248
3.249e-07,-0.232
3.257e-07,-0.208
3.265e-07,-0.192
3.273e-07,-0.184
3.281e-07,-0.192
3.289e-07,-0.2
3.297e-07,-0.192
3.305e-07,-0.176
3.313e-07,-0.168
3.321e-07,-0.168
3.329e-07,-0.176
3.337e-07,-0.192
3.345e-07,-0.2
3.353e-07,-0.2
3.361e-07,-0.192
3.369e-07,-0.184
3.377e-07,-0.16
3.385e-07,-0.144
3.393e-07,-0.144
3.401e-07,-0.144
3.409e-07,-0.144
3.417e-07,-0.136
3.425e-07,-0.128
3.433e-07,-0.128
3.441e-07,-0.136
3.449e-07,-0.144
3.457e-07,-0.152
3.465e-07,-0.176
3.473e-07,-0.192
3.481e-07,-0.2
3.489e-07,-0.184
3.497e-07,-0.16
3.505e-07,-0.144
3.513e-07,-0.144
3.521e-07,-0.16
3.529e-07,-0.168
3.537e-07,-0.184
3.545e-07,-0.184
3.553e-07,-0.168
3.561e-07,-0.152
3.569e-07,-0.136
3.577e-07,-0.136
3.585e-07,-0.168
3.593e-07,-0.208
3.601e-07,-0.224
3.609e-07,-0.216
3.617e-07,-0.184
3.625e-07,-0.144
3.633e-07,-0.128
3.641e-07,-0.104
3.649e-07,-0.12
3.657e-07,-0.128
3.665e-07,-0.16
3.673e-07,-0.176
3.681e-07,-0.184
3.689e-07,-0.168
3.697e-07,-0.152
3.705e-07,-0.12
3.713e-07,-0.112
3.721e-07,-0.12
3.729e-07,-0.112
3.737e-07,-0.12
3.745e-07,-0.12
3.753e-07,-0.152
3.761e-07,-0.176
3.769e-07,-0.184
3.777e-07,-0.176
3.785e-07,-0.168
3.793e-07,-0.152
3.801e-07,-0.16
3.809e-07,-0.176
3.817e-07,-0.192
3.825e-07,-0.2
3.833e-07,-0.192
3.841e-07,-0.184
3.849e-07,-0.176
3.857e-07,-0.16
3.865e-07,-0.128
3.873e-07,-0.104
3.881e-07,-0.104
3.889e-07,-0.112
3.897e-07,-0.136
3.905e-07,-0.152
3.913e-07,-0.168
3.921e-07,-0.152
3.929e-07,-0.12
3.937e-07,-0.096
3.945e-07,-0.088
3.953e-07,-0.096
3.961e-07,-0.112
3.969e-07,-0.136
3.977e-07,-0.152
3.985e-07,-0.144
3.993e-07,-0.144
4.001e-07,-0.144
4.009e-07,-0.128
4.017e-07,-0.128
4.025e-07,-0.128
4.033e-07,-0.136
4.041e-07,-0.152
4.049e-07,-0.16
4.057e-07,-0.168
4.065e-07,-0.16
4.073e-07,-0.152
4.081e-07,-0.128
4.089e-07,-0.104
4.097e-07,-0.096
4.105e-07,-0.112
4.113e-07,-0.12
4.121e-07,-0.136
4.129e-07,-0.144
4.137e-07,-0.144
4.145e-07,-0.136
4.153e-07,-0.152
4.161e-07,-0.136
4.169e-07,-0.144
4.177e-07,-0.144
4.185e-07,-0.152
4.193e-07,-0.144
4.201e-07,-0.136
4.209e-07,-0.128
4.217e-07,-0.128
4.225e-07,-0.128
4.233e-07,-0.12
4.241e-07,-0.12
4.249e-07,-0.128
4.257e-07,-0.136
4.265e-07,-0.136
4.273e-07,-0.136
4.281e-07,-0.12
4.289e-07,-0.112
4.297e-07,-0.104
4.305e-07,-0.112
4.313e-07,-0.128
4.321e-07,-0.136
4.329e-07,-0.144
4.337e-07,-0.144
4.345e-07,-0.136
4.353e-07,-0.12
4.361e-07,-0.104
4.369e-07,-0.096
4.377e-07,-0.096
4.385e-07,-0.096
4.393e-07,-0.104
4.401e-07,-0.112
4.409e-07,-0.12
4.417e-07,-0.12
4.425e-07,-0.112
4.433e-07,-0.112
4.441e-07,-0.104
4.449e-07,-0.096
4.457e-07,-0.096
4.465e-07,-0.112
4.473e-07,-0.12
4.481e-07,-0.128
4.489e-07,-0.136
4.497e-07,-0.128
4.505e-07,-0.112
4.513e-07,-0.104
4.521e-07,-0.096
4.529e-07,-0.088
4.537e-07,-0.096
4.545e-07,-0.096
4.553e-07,-0.096
4.561e-07,-0.104
4.569e-07,-0.096
4.577e-07,-0.088
4.585e-07,-0.08
4.593e-07,-0.096
4.601e-07,-0.112
4.609e-07,-0.128
4.617e-07,-0.128
4.625e-07,-0.128
4.633e-07,-0.128
4.641e-07,-0.12
4.649e-07,-0.104
4.657e-07,-0.096
4.665e-07,-0.08
4.673e-07,-0.08
4.681e-07,-0.08
4.689e-07,-0.08
4.697e-07,-0.104
4.705e-07,-0.112
4.713e-07,-0.12
4.721e-07,-0.112
4.729e-07,-0.12
4.737e-07,-0.128
